id,weekday,period_no,class_name,subject_name
1,T2,1,12A1,SHDC
2,T2,2,12A1,HDTN
3,T2,3,12A1,HDTN
4,T2,4,12A1,QPAN
5,T2,5,12A1,Toán
6,T5,1,12A1,Toán
7,T5,2,12A1,Toán
8,T7,1,12A1,Ngoại ngữ
9,T7,2,12A1,Ngoại ngữ
10,T7,3,12A1,Ngữ văn
11,T7,4,12A1,Ngữ văn
12,T7,5,12A1,SHL
13,T2,1,12A10,SHDC
14,T2,2,12A10,Ngoại ngữ
15,T2,3,12A10,Ngoại ngữ
16,T2,4,12A10,HDTN
17,T2,5,12A10,HDTN
18,T5,1,12A10,Ngữ văn
19,T5,2,12A10,Ngữ văn
20,T7,1,12A10,QPAN
21,T7,2,12A10,Ngữ văn
22,T7,3,12A10,Toán
23,T7,4,12A10,Toán
24,T7,5,12A10,SHL
25,T2,1,12A2,SHDC
26,T2,2,12A2,QPAN
27,T2,3,12A2,Toán
28,T2,4,12A2,HDTN
29,T2,5,12A2,HDTN
30,T5,1,12A2,Ngữ văn
31,T5,2,12A2,Ngữ văn
32,T7,1,12A2,Toán
33,T7,2,12A2,Toán
34,T7,3,12A2,Ngoại ngữ
35,T7,4,12A2,Ngoại ngữ
36,T7,5,12A2,SHL
37,T2,1,12A3,SHDC
38,T2,2,12A3,Toán
39,T2,3,12A3,QPAN
40,T2,4,12A3,Ngoại ngữ
41,T2,5,12A3,Ngoại ngữ
42,T5,1,12A3,HDTN
43,T5,2,12A3,HDTN
44,T7,1,12A3,Ngữ văn
45,T7,2,12A3,Ngữ văn
46,T7,3,12A3,Toán
47,T7,4,12A3,Toán
48,T7,5,12A3,SHL
49,T2,1,12A4,SHDC
50,T2,2,12A4,HDTN
51,T2,3,12A4,HDTN
52,T2,4,12A4,Toán
53,T2,5,12A4,Toán
54,T5,1,12A4,Toán
55,T5,2,12A4,QPAN
56,T7,1,12A4,Ngoại ngữ
57,T7,2,12A4,Ngoại ngữ
58,T7,3,12A4,Ngữ văn
59,T7,4,12A4,Ngữ văn
60,T7,5,12A4,SHL
61,T2,1,12A5,SHDC
62,T2,2,12A5,Toán
63,T2,3,12A5,Toán
64,T2,4,12A5,Ngoại ngữ
65,T2,5,12A5,Ngoại ngữ
66,T5,1,12A5,QPAN
67,T5,2,12A5,Toán
68,T7,1,12A5,HDTN
69,T7,2,12A5,HDTN
70,T7,3,12A5,Ngữ văn
71,T7,4,12A5,Ngữ văn
72,T7,5,12A5,SHL
73,T2,1,12A6,SHDC
74,T2,2,12A6,HDTN
75,T2,3,12A6,HDTN
76,T2,4,12A6,Toán
77,T2,5,12A6,QPAN
78,T5,1,12A6,Ngữ văn
79,T5,2,12A6,Ngữ văn
80,T7,1,12A6,Toán
81,T7,2,12A6,Toán
82,T7,3,12A6,Ngoại ngữ
83,T7,4,12A6,Ngoại ngữ
84,T7,5,12A6,SHL
85,T2,1,12A7,SHDC
86,T2,2,12A7,Ngoại ngữ
87,T2,3,12A7,Ngoại ngữ
88,T2,4,12A7,HDTN
89,T2,5,12A7,HDTN
90,T5,1,12A7,Toán
91,T5,2,12A7,Toán
92,T7,1,12A7,Toán
93,T7,2,12A7,QPAN
94,T7,3,12A7,Ngữ văn
95,T7,4,12A7,Ngữ văn
96,T7,5,12A7,SHL
97,T2,1,12A8,SHDC
98,T2,2,12A8,Vật lí
99,T2,3,12A8,Toán
100,T2,4,12A8,Ngoại ngữ
101,T2,5,12A8,Ngoại ngữ
102,T5,1,12A8,Ngữ văn
103,T5,2,12A8,Ngữ văn
104,T5,3,12A8,QPAN
105,T7,1,12A8,Toán
106,T7,2,12A8,Toán
107,T7,3,12A8,HDTN
108,T7,4,12A8,HDTN
109,T7,5,12A8,SHL
110,T2,1,12A9,SHDC
111,T2,2,12A9,HDTN
112,T2,3,12A9,HDTN
113,T2,4,12A9,Ngữ văn
114,T2,5,12A9,Ngữ văn
115,T5,1,12A9,Toán
116,T5,2,12A9,Toán
117,T7,1,12A9,Ngoại ngữ
118,T7,2,12A9,Ngoại ngữ
119,T7,3,12A9,QPAN
120,T7,4,12A9,Ngữ văn
121,T7,5,12A9,SHL
