id,weekday,period_no,class_name,subject_name
1,T2,1,12A1,SHDC
2,T3,1,12A1,Ngoại ngữ
3,T4,1,12A1,GDTC
4,T5,1,12A1,Lịch Sử
5,T6,1,12A1,Toán
6,T7,1,12A1,GDKTPL
7,T2,2,12A1,Tin học
8,T3,2,12A1,Ngoại ngữ
9,T4,2,12A1,GDTC
10,T5,2,12A1,Ngữ văn
11,T6,2,12A1,Toán
12,T7,2,12A1,Ngoại ngữ
13,T2,3,12A1,Tin học
14,T3,3,12A1,Tin học
15,T4,3,12A1,QPAN
16,T5,3,12A1,Ngữ văn
17,T6,3,12A1,GDKTPL
18,T7,3,12A1,GDDP
19,T2,4,12A1,Sinh học
20,T3,4,12A1,HDTN
21,T4,4,12A1,Ngữ văn
22,T5,4,12A1,Toán
23,T6,4,12A1,Địa Lí
24,T7,4,12A1,Sinh học
25,T2,5,12A1,Sinh học
26,T3,5,12A1,HDTN
27,T4,5,12A1,Ngữ văn
28,T6,5,12A1,Địa Lí
29,T7,5,12A1,SHL
30,T2,1,12A2,SHDC
31,T5,1,12A2,Toán
32,T7,1,12A2,Ngoại ngữ
33,T2,2,12A2,HDTN
34,T5,2,12A2,Toán
35,T7,2,12A2,Ngoại ngữ
36,T2,3,12A2,HDTN
37,T7,3,12A2,Ngữ văn
38,T2,4,12A2,QPAN
39,T7,4,12A2,Ngữ văn
40,T2,5,12A2,Toán
41,T7,5,12A2,SHL
42,T2,1,12A4,SHDC
43,T5,1,12A4,Toán
44,T7,1,12A4,Ngoại ngữ
45,T2,2,12A4,HDTN
46,T5,2,12A4,QPAN
47,T7,2,12A4,Ngoại ngữ
48,T2,3,12A4,HDTN
49,T7,3,12A4,Ngữ văn
50,T2,4,12A4,Toán
51,T7,4,12A4,Ngữ văn
52,T2,5,12A4,Toán
53,T7,5,12A4,SHL
54,T2,1,12A6,SHDC
55,T5,1,12A6,Ngữ văn
56,T7,1,12A6,Toán
57,T2,2,12A6,HDTN
58,T5,2,12A6,Ngữ văn
59,T7,2,12A6,Toán
60,T2,3,12A6,HDTN
61,T7,3,12A6,Ngoại ngữ
62,T2,4,12A6,Toán
63,T7,4,12A6,Ngoại ngữ
64,T2,5,12A6,QPAN
65,T7,5,12A6,SHL
66,T2,1,12A8,SHDC
67,T5,1,12A8,Ngữ văn
68,T7,1,12A8,Toán
69,T2,2,12A8,Vật lí
70,T5,2,12A8,Ngữ văn
71,T7,2,12A8,Toán
72,T2,3,12A8,Toán
73,T5,3,12A8,QPAN
74,T7,3,12A8,HDTN
75,T2,4,12A8,Ngoại ngữ
76,T7,4,12A8,HDTN
77,T2,5,12A8,Ngoại ngữ
78,T7,5,12A8,SHL
79,T2,1,12A5,SHDC
80,T5,1,12A5,QPAN
81,T7,1,12A5,HDTN
82,T2,2,12A5,Toán
83,T5,2,12A5,Toán
84,T7,2,12A5,HDTN
85,T2,3,12A5,Toán
86,T7,3,12A5,Ngữ văn
87,T2,4,12A5,Ngoại ngữ
88,T7,4,12A5,Ngữ văn
89,T2,5,12A5,Ngoại ngữ
90,T7,5,12A5,SHL
91,T2,1,12A7,SHDC
92,T5,1,12A7,Toán
93,T7,1,12A7,Toán
94,T2,2,12A7,Ngoại ngữ
95,T5,2,12A7,Toán
96,T7,2,12A7,QPAN
97,T2,3,12A7,Ngoại ngữ
98,T7,3,12A7,Ngữ văn
99,T2,4,12A7,HDTN
100,T7,4,12A7,Ngữ văn
101,T2,5,12A7,HDTN
102,T7,5,12A7,SHL
103,T2,1,12A9,SHDC
104,T5,1,12A9,Toán
105,T7,1,12A9,Ngoại ngữ
106,T2,2,12A9,HDTN
107,T5,2,12A9,Toán
108,T7,2,12A9,Ngoại ngữ
109,T2,3,12A9,HDTN
110,T7,3,12A9,QPAN
111,T2,4,12A9,Ngữ văn
112,T7,4,12A9,Ngữ văn
113,T2,5,12A9,Ngữ văn
114,T7,5,12A9,SHL
115,T2,1,12A10,SHDC
116,T5,1,12A10,Ngữ văn
117,T7,1,12A10,QPAN
118,T2,2,12A10,Ngoại ngữ
119,T5,2,12A10,Ngữ văn
120,T7,2,12A10,Ngữ văn
121,T2,3,12A10,Ngoại ngữ
122,T7,3,12A10,Toán
123,T2,4,12A10,HDTN
124,T7,4,12A10,Toán
125,T2,5,12A10,HDTN
126,T7,5,12A10,SHL
