id,weekday,period_no,location,subject_name
1,T3,1,12A1,Hóa học 1
2,T3,1,12A2,GDKT&PL 1
3,T3,1,12A3,Địa lí 1
4,T3,2,12A1,Hóa học 1
5,T3,2,12A2,GDKT&PL 1
6,T3,2,12A3,Địa lí 1
7,T3,3,12A1,Hóa học 4
8,T3,3,12A3,Hóa học 3
9,T3,3,12A5,Hóa học 2
10,T3,4,12A1,Hóa học 4
11,T3,4,12A3,Hóa học 3
12,T3,4,12A5,Hóa học 2
13,T4,1,12A2,Vật lí 3
14,T4,1,12A3,Vật lí 1
15,T4,1,12A4,Vật lí 5
16,T4,2,12A2,Vật lí 3
17,T4,2,12A3,Vật lí 1
18,T4,2,12A4,Vật lí 5
19,T4,3,12A2,Vật lí 4
20,T4,3,12A3,Vật lí 2
21,T4,4,12A2,Vật lí 4
22,T4,4,12A3,Vật lí 2
23,T5,3,12A1,Tiếng Anh 1
24,T5,3,12A2,Tiếng Anh 2
25,T5,3,12A3,Tiếng Anh 3
26,T5,4,12A1,Tiếng Anh 1
27,T5,4,12A2,Tiếng Anh 2
28,T5,4,12A3,Tiếng Anh 3
29,T5,4,12A4,Tiếng Anh 4
30,T5,4,12A5,Tiếng Anh 5
31,T5,5,12A4,Tiếng Anh 4
32,T5,5,12A5,Tiếng Anh 5
33,T6,1,12A1,Lịch sử 2
34,T6,1,12A2,Lịch sử 1
35,T6,2,12A1,Lịch sử 2
36,T6,2,12A2,Lịch sử 1
37,T6,3,12A3,Sinh học 2
38,T6,3,12A4,Sinh học 1
39,T6,3,12A5,Tin học 1
40,T6,4,12A3,Sinh học 2
41,T6,4,12A4,Sinh học 1
42,T6,4,12A5,Tin học 1
